top,left,line_height,font_size,bold,text
109.9,70.9,10.0,10.0,False,"That said, each extension level exam focuses on the learning objectives defined in that extension"
121.4,70.9,10.0,10.0,False,"syllabus. The relevant learning objectives at K1, K2, and K3 levels are provided at the beginning of each"
132.9,70.9,10.0,10.0,False,chapter within each particular extension syllabus.
158.5,70.9,14.0,14.0,False,2.4 Entry Requirements
181.5,70.9,10.0,10.0,False,"To be able to participate in a Foundation Level Extension &#x2013; Agile Tester exam, candidates must have"
193.1,70.9,10.0,10.0,False,obtained the ISTQB Foundation Level certificate.
218.6,70.9,14.0,14.0,False,2.5 Structure and Course Duration
241.7,70.9,10.0,10.0,False,The Foundation Level Extension &#x2013; Agile Tester syllabus has no shared or common elements with the
253.2,70.9,10.0,10.0,False,Foundation Level syllabus.
276.1,70.9,10.0,10.0,False,The syllabi must be taught in the following minimum number of days:
302.5,212.2,10.0,10.0,True,Syllabus
302.5,368.5,10.0,10.0,True,Days
320.6,212.2,10.0,10.0,False,Baseline: Foundation
320.6,377.6,10.0,10.0,False,3
338.6,212.2,10.0,10.0,False,Extension: Agile Tester
338.6,377.6,10.0,10.0,False,2
368.2,70.9,10.0,10.0,False,The following figure shows the structure of the Agile Tester Extension and its relationship to the
379.7,70.9,10.0,10.0,False,Foundation Level.
720.1,270.2,10.0,10.0,False,Page 8 of 12
