top,left,line_height,font_size,bold,text
73.3,90.0,10.0,10.0,False,capabilities. The challenge is to secure resources sufficient to both sustain the original investments and
84.8,90.0,10.0,10.0,False,to enhance the ODL.
107.7,90.0,10.0,10.0,False,The ongoing funding of the ODL will be based on a partnership model involving all the key participants
119.2,90.0,10.0,10.0,False,"(i.e. government, libraries, donors, public and private sectors). All participants (i.e. beneficiaries) are"
130.8,90.1,10.0,10.0,False,expected to make financial contributions to the ODL. It is important in achieving the full impact of the
142.3,90.1,10.0,10.0,False,"ODL on Ontario&#x2019;s economy, society and learning support that all library sectors are participants"
153.8,90.1,10.0,10.0,False,"(university, colleges, public libraries and schools)."
171.3,90.1,10.0,10.0,False,"The proposed funding model requires a continuing government investment, but also recognizes that as"
182.7,90.0,10.0,10.0,False,the ODL matures a growing share of ODL funding will come from libraries and non-governmental
194.3,90.0,10.0,10.0,False,sources. During the 3-year implementation phase (2004 &#x2013; 2006) libraries will realign their budgets to
205.8,90.0,10.0,10.0,False,enable ongoing funding contributions to ODL. During the same period ODL must build the proposed
217.3,90.0,10.0,10.0,False,endowment and secure public and private sector gifts and/or in-kind contributions. The following chart
228.8,90.0,10.0,10.0,False,outlines the model. This model is based on these assumptions:
246.3,108.0,10.0,10.0,False,1. that ODL expenditures will increase by 50% over a 10 year period
263.7,108.0,10.0,10.0,False,2. that government funding will decrease from 70% to 45% during that 10 year period
281.3,108.0,10.0,10.0,False,"3. that library contributions, endowment and gifts/in-kind funding will increase from 30% to 55%"
292.8,126.0,10.0,10.0,False,during the same period
321.7,245.8,10.0,10.0,True,OVERVIEW OF ODL FUNDING MODEL
345.4,114.4,12.0,12.0,True,Funding Source
345.4,313.4,12.0,12.0,True,2007
345.4,427.6,12.0,12.0,True,2017
359.5,114.4,10.0,10.0,False,Government
359.5,300.4,10.0,10.0,False,$35M (70%)
359.5,408.1,10.0,10.0,False,$33.75M (45%)
371.5,114.4,10.0,10.0,False,Libraries
371.5,300.5,10.0,10.0,False,$10M (20%)
371.5,410.7,10.0,10.0,False,$22.5M (30%)
383.5,114.4,10.0,10.0,False,Endowment
383.5,301.8,10.0,10.0,False,$4.5M (9%)
383.5,414.7,10.0,10.0,False,$15M (20%)
395.5,114.4,10.0,10.0,False,Gifts/In-Kind
395.5,301.8,10.0,10.0,False,$0.5M (1%)
395.5,413.4,10.0,10.0,False,$3.75M (5%)
407.4,114.4,10.0,10.0,True,TOTAL ANNUAL
407.5,314.3,10.0,10.0,False,$50M
407.5,428.6,10.0,10.0,False,$75M
442.5,90.0,10.0,10.0,False,"While the private sector will be invited to participate in the ODL through the endowment, gifts and in-"
454.0,90.0,10.0,10.0,False,"kind contributions, the ODL will also explore compatible commercial services which leverage the reach"
465.6,90.0,10.0,10.0,False,of the ODL and help to offset operating costs.
488.6,90.0,10.0,10.0,False,A $50M budget leverages the consortium buying power of the province&#x2019;s libraries to secure the best
500.0,90.0,10.0,10.0,False,"prices for information resources, the widest accessibility and the most favourable contracts. A budget of"
511.5,90.0,10.0,10.0,False,this nature will ensure a core digital collection of sufficient scope and coverage to address a substantial
523.1,90.0,10.0,10.0,False,amount of the wide and diverse information and learning needs of the citizens of Ontario (an overview
534.6,90.0,10.0,10.0,True,of the nature of the ODL digital collection is appended). The proposed ODL expenditures in 2006
546.1,90.0,10.0,10.0,True,represent an investment of $5.00 per citizen.
569.0,90.0,10.0,10.0,False,It is important to recognize that every new dollar per citizen invested in the Ontario Digital Library has a
580.5,90.0,10.0,10.0,False,double benefit: it supports a province-wide library of high quality information resources and it
592.1,90.0,10.0,10.0,False,strengthens every local library in Ontario by allowing them to reinvest existing dollars in new resources
603.6,90.0,10.0,10.0,True,that enhance local services. This multiplier means that for every dollar invested in ODL the return
615.1,90.0,10.0,10.0,True,on investment is worth $2 of value for Ontario.
733.7,511.1,9.0,9.0,False,10
733.9,510.9,9.0,9.0,False,10
733.9,511.1,9.0,9.0,False,10
733.7,510.9,9.0,9.0,False,10
